Employee_ID,Name,Age,Gender,Department,Position,Years_at_Company,Salary,Education_Level,Performance_Score,Marital_Status,Has_Children,Working_Hours_per_Week,Remote_Work,Sick_Days_in_Last_Year,Promotion_Last_5_Years,Left_Company,Work_Life_Balance_Score,Job_Satisfaction_Score,Previous_Employer_Count,Favorite_Color,Hobby,Estimated_Annual_Bonus
1,Hüseyin,57.0,Male,Sales,Senior,38,,Master,3,Divorced,False,31,True,0,True,False,2,4,9,Green,Gaming,
2,Fatma,,Male,Marketing,Manager,8,54234.0,PhD,3,Single,False,45,False,10,True,True,5,7,0,Yellow,Traveling,5193.274540525811
3,Ali,49.0,Male,Marketing,Intern,17,,Bachelor,4,Single,False,47,False,8,True,True,6,8,5,White,Music,
4,Hüseyin,36.0,Male,IT,Junior,35,126284.0,PhD,3,Married,True,47,True,6,True,True,3,9,3,Black,Sports,9139.923382441311
5,Mehmet,23.0,Male,Finance,Senior,39,52322.0,Master,1,Married,False,42,False,13,False,False,2,5,7,Red,Traveling,2963.943735639527
6,Elif,37.0,Female,Finance,Senior,35,,Master,4,Single,True,58,True,4,False,True,4,4,5,White,Gaming,
7,Ali,44.0,Female,HR,Intern,27,102483.0,High School,1,Divorced,False,49,False,9,True,False,8,8,5,Blue,Sports,11923.63137343935
8,Ali,60.0,Male,Operations,Junior,18,30843.0,PhD,2,Married,False,55,False,2,True,True,2,3,8,Blue,Reading,3994.056817043296
9,Hüseyin,54.0,Female,Finance,Junior,29,79145.0,Bachelor,4,Married,True,57,False,7,False,False,3,2,5,Red,Gaming,10549.75682086296
10,Ayşe,24.0,Female,Marketing,Manager,37,56216.0,PhD,3,Divorced,False,33,True,0,False,False,2,3,3,Red,Music,3703.564447408408
11,Mehmet,22.0,Male,Sales,Junior,14,148828.0,Master,4,Single,False,50,True,7,True,False,1,6,8,Green,Reading,17787.057959496822
12,Hüseyin,28.0,Male,HR,Intern,11,,Bachelor,2,Single,True,31,False,12,True,True,1,8,3,Red,Music,
13,Mehmet,32.0,Male,Operations,Junior,1,92689.0,Bachelor,1,Divorced,False,30,False,3,True,True,3,3,2,White,Reading,13533.559805975388
14,Mehmet,20.0,Female,Sales,Manager,8,85714.0,High School,2,Divorced,True,23,True,1,False,False,1,2,2,Red,Music,7774.247657510118
15,Elif,,Male,Sales,Senior,34,149399.0,PhD,4,Married,True,44,True,6,False,False,8,8,0,Red,Reading,7997.784540230128
16,Ali,,Female,Marketing,Junior,0,138805.0,PhD,1,Single,False,44,False,3,False,False,1,5,7,Yellow,Music,8821.775556496996
17,Fatma,54.0,Female,IT,Intern,30,79916.0,PhD,1,Single,False,39,False,12,True,True,3,8,3,Yellow,Traveling,10683.404270312749
18,Elif,26.0,Female,IT,Junior,27,138196.0,Bachelor,4,Single,True,27,True,3,False,False,9,4,4,Black,Reading,11624.427040613125
19,Elif,32.0,Female,IT,Team Lead,36,73299.0,Master,2,Divorced,True,43,False,5,False,True,3,6,1,Green,Reading,3820.9189478232915
